name,score,price,rank
Intel Core i9-9900K @ 3.60GHz,"18,926",$529.99,95
Intel Core i9-9900KF @ 3.60GHz,"18,742",$479.99,96
AMD Ryzen 7 4800HS,"18,741",NA,97
Intel Xeon Silver 4214 @ 2.20GHz,"18,535",$777.59,98
AMD Ryzen 5 3600X,"18,309",$204.99,99
Intel Xeon E5-2696 v3 @ 2.30GHz,"18,255","$2,498.00*",100
Intel Xeon W-2145 @ 3.70GHz,"18,224","$1,207.59*",101
AMD Ryzen 5 PRO 3600,"18,205",NA,102
Intel Core i7-9800X @ 3.80GHz,"18,167",$619.24,103
Intel Xeon Gold 5120T @ 2.20GHz,"18,045","$1,727.00*",104
Intel Xeon E5-2698 v3 @ 2.30GHz,"17,940",$729.00*,105
Intel Xeon Gold 6226 @ 2.70GHz,"17,850","$1,776.00*",106
Intel Xeon Gold 5120 @ 2.20GHz,"17,810","$1,561.00*",107
Intel Xeon W-2140B @ 3.20GHz,"17,793",NA,108
Intel Core i7-7820X @ 3.60GHz,"17,783",$913.92,109
AMD Ryzen 5 3600,"17,773",$172.39,110
Intel Xeon E5-2697A v4 @ 2.60GHz,"17,709",NA,111
AMD Ryzen 7 PRO 2700X,"17,634",NA,112
AMD Ryzen 7 2700X,"17,613",$312.99,113
Intel Core i7-6950X @ 3.00GHz,"17,430",$940.90,114
Intel Xeon E-2288G @ 3.70GHz,"17,316",$539.00*,115
Intel Core i9-9900 @ 3.10GHz,"17,215",$519.99,116
Intel Xeon E5-2687W v4 @ 3.00GHz,"17,066","$2,174.99*",117
Intel Core i9-10980HK @ 2.40GHz,"16,990",$583.00*,118
AMD Ryzen Threadripper 1900X,"16,932",$197.00,119
AMD EPYC 7451,"16,718","$2,400.00",120
Intel Xeon Gold 6134 @ 3.20GHz,"16,687","$2,251.24*",121
Intel Xeon Gold 5117 @ 2.00GHz,"16,580",NA,122
Intel Xeon E5-2699 v3 @ 2.30GHz,"16,541",$799.00,123
Intel Xeon E5-2699A v4 @ 2.40GHz,"16,516","$4,938.00*",124
Intel Xeon E5-2690 v4 @ 2.60GHz,"16,481","$2,169.99*",125
Intel Xeon E5-2696 v4 @ 2.20GHz,"16,413","$3,009.95*",126
Intel Xeon E5-2673 v4 @ 2.30GHz,"16,345",NA,127
Intel Xeon Gold 5118 @ 2.30GHz,"16,344","$1,049.95*",128
Intel Xeon E5-2697 v4 @ 2.30GHz,"16,298","$2,784.95",129
Intel Xeon E5-2698 v4 @ 2.20GHz,"16,289","$3,629.59*",130
Intel Xeon E5-2697 v3 @ 2.60GHz,"16,199",$798.95,131
